False_Positive_Rate,True_Positive_Rate,Threshold
0.0,0.0,inf
0.0,0.0125,0.8846616987097706
0.0,0.025,0.8785694221851941
0.004545454545454545,0.025,0.8686954791207132
0.004545454545454545,0.0375,0.8665558064798216
0.00909090909090909,0.0375,0.8576392480020191
0.00909090909090909,0.0875,0.664976965827258
0.013636363636363636,0.0875,0.657354970457567
0.013636363636363636,0.2125,0.6106756968519311
0.022727272727272728,0.2125,0.6021828576873546
0.022727272727272728,0.3,0.5914258326439095
0.03636363636363636,0.3,0.577649174537743
0.03636363636363636,0.35,0.5735280071292865
0.05,0.35,0.5709674989307904
0.05,0.3625,0.5694642439936826
0.05454545454545454,0.3625,0.5690340961886396
0.05454545454545454,0.375,0.5673858220397875
0.06363636363636363,0.375,0.5647993425133481
0.06363636363636363,0.4125,0.5616020854100816
0.06818181818181818,0.4125,0.5585832115976134
0.06818181818181818,0.475,0.5521019805571686
0.07272727272727272,0.475,0.5514413369587312
0.07272727272727272,0.525,0.549825760256146
0.08181818181818182,0.525,0.5475148724371158
0.08181818181818182,0.5375,0.546529464344151
0.09090909090909091,0.5375,0.5445105216487443
0.09090909090909091,0.55,0.5428058483945024
0.1,0.55,0.5419423128470598
0.1,0.575,0.5396355995800733
0.10909090909090909,0.575,0.5375910776123971
0.10909090909090909,0.625,0.5313385460625758
0.11363636363636363,0.625,0.5296821806287052
0.11363636363636363,0.6375,0.5290334517657769
0.11818181818181818,0.6375,0.5285970855446297
0.11818181818181818,0.65,0.524878799709356
0.12272727272727273,0.65,0.5232611291357516
0.12272727272727273,0.7625,0.5114228105669617
0.1318181818181818,0.7625,0.5087978720975579
0.1318181818181818,0.7875,0.5074604622295095
0.1409090909090909,0.7875,0.4934166811379436
0.1409090909090909,0.8,0.4933320201054451
0.14545454545454545,0.8,0.4932363235594115
0.14545454545454545,0.825,0.4907776686680112
0.16363636363636364,0.825,0.46521791323744444
0.16363636363636364,0.8375,0.4597182191202571
0.16818181818181818,0.8375,0.45737874433169684
0.16818181818181818,0.85,0.32258338897949773
0.2,0.85,0.29066102675153366
0.2,0.8625,0.29059063140902136
0.23636363636363636,0.8625,0.27971010181361694
0.23636363636363636,0.875,0.277021535881446
0.2681818181818182,0.875,0.2711689369473438
0.2681818181818182,0.8875,0.2700089066399856
0.2772727272727273,0.8875,0.26828477102357445
0.2772727272727273,0.9,0.26782200851643273
0.33636363636363636,0.9,0.25845598383048973
0.33636363636363636,0.9125,0.2574121538969389
0.39090909090909093,0.9125,0.24282361051948181
0.39090909090909093,0.925,0.24048366007177904
0.4590909090909091,0.925,0.23394938755361344
0.4590909090909091,0.9375,0.23392582597047137
0.5863636363636363,0.9375,0.22096458505872793
0.5863636363636363,0.95,0.22055186281693792
0.6636363636363637,0.95,0.2139947911492231
0.6636363636363637,0.9625,0.21075517965434531
0.6954545454545454,0.9625,0.20454381027606802
0.6954545454545454,0.975,0.20395737802776148
0.9272727272727272,0.975,0.1647370587780961
0.9272727272727272,0.9875,0.1644531576821353
0.9636363636363636,0.9875,0.15227805203083009
0.9636363636363636,1.0,0.1512002093084466
1.0,1.0,0.12783498653229883
